AR_p,I,MA_q,Box-Cox,IN_SAMPLE_MAPE,IN_SAMPLE_R2,IN_SAMPLE_MAE,AIC,IN_SAMPLE_TIME
0,0,1,True,2.757086035150356,-493.0781040205845,4.256008009403949,-70.1328337434172,0.13733696937561035
0,0,1,False,0.1315742929312161,0.6631509121047714,0.7399083975095513,124.84563806898188,0.044022560119628906
0,1,1,True,2.7539738454424607,-566.7505474762287,4.368181991460733,-133.83880020449226,0.028999805450439453
0,1,1,False,0.07369762525660717,0.8060559792333735,0.38035908440175126,53.21855353894355,0.02346062660217285
0,2,1,True,2.872998288878834,-613.1433967035124,4.539757005845597,-124.0598291142743,0.027892589569091797
0,2,1,False,0.08887306579198377,0.773962580155872,0.44812194143576667,57.042783963422714,0.019915103912353516
0,0,2,True,2.7797561038184084,-522.5010158883233,4.327912555480907,-97.83250016656223,0.09212899208068848
0,0,2,False,0.09148400388652254,0.8014040971229821,0.5072784934204694,95.52407450546933,0.07706046104431152
0,1,2,True,2.7532167299302777,-566.3417214944628,4.366829204161858,-131.9006343081323,0.22850561141967773
0,1,2,False,0.07391818687988483,0.8061442868092744,0.38147441999301,55.19161872389765,0.02099013328552246
0,2,2,True,2.8829769719218703,-618.6804724556886,4.55742433092433,-126.80639366846663,0.08299040794372559
0,2,2,False,0.0853021062128736,0.7785699826153172,0.4331912247697855,56.277957823822206,0.04550623893737793
1,0,0,True,2.771979279922784,-549.293615324409,4.361293083670974,-122.67730409985197,0.034644365310668945
1,0,0,False,0.06381486631184263,0.8974527312723226,0.3532125733812553,65.02820060885998,0.01908254623413086
1,1,0,True,2.757691918761299,-568.4992921341322,4.37433439537133,-131.93309399301603,0.013507366180419922
1,1,0,False,0.07480756285890038,0.8056647383792672,0.3865049411834692,53.5506761818172,0.011000394821166992
1,2,0,True,2.847082827595227,-602.5967095585663,4.496472017943632,-115.65925263674622,0.019155263900756836
1,2,0,False,0.0903600036175074,0.7580547722555514,0.4628643697871811,66.40390817622779,0.01101064682006836
1,0,1,True,2.784623628157693,-554.5034585144442,4.3816249997006045,-131.62879169387463,0.07016253471374512
1,0,1,False,0.060287308717568544,0.9042048384226329,0.3299122355228687,59.40546203733082,0.029999494552612305
1,1,1,True,2.752725300844044,-566.0838620773889,4.365950917335241,-131.94983541005243,0.0435025691986084
1,1,1,False,0.07404584874445207,0.8061943605638798,0.3821528819636539,55.17444564555604,0.028005599975585938
1,2,1,True,2.8841380728003685,-618.9791011329628,4.558864420987599,-124.6372273341137,0.051019906997680664
1,2,1,False,0.08627839546148595,0.7771417108203227,0.4376134448775934,57.12340002555302,0.028512001037597656
1,0,2,True,2.784568035097344,-554.5138403504508,4.381577926604029,-129.6321418080534,0.11652922630310059
1,0,2,False,0.06091396796471674,0.9032526045283522,0.3326799889440952,61.29634546572075,0.04700660705566406
1,1,2,True,2.7622761344008837,-572.0974322144798,4.383898681786818,-130.19735275447138,0.06863093376159668
1,1,2,False,0.07369455103802257,0.8072083319858843,0.3806092519437694,56.49708043883264,0.04451107978820801
1,2,2,True,2.8765170929250474,-615.2060631456308,4.546622528823678,-126.40857198960455,0.11469626426696777
1,2,2,False,0.08267661260920116,0.7817183025170238,0.417365982388293,55.91520018664176,0.10643649101257324
2,0,0,True,2.7885420556074743,-555.0553101875604,4.38617965720454,-130.09075122242803,0.06850051879882812
2,0,0,False,0.061976759079183014,0.9007121008670478,0.3377995189561093,59.37845201996464,0.044985055923461914
2,1,0,True,2.754264231960892,-566.4542200450607,4.3681320636309815,-130.66965387657777,0.03252363204956055
2,1,0,False,0.07465938642482638,0.8059502416268972,0.38521267827532074,55.360562160114576,0.025017261505126953
2,2,0,True,2.848738259617963,-602.8036370851133,4.50048649445275,-124.26068370538772,0.06104588508605957
2,2,0,False,0.08480511730401441,0.7723322416647329,0.4361145151270245,60.82741297182924,0.01401972770690918
2,0,1,True,2.7841269476366723,-554.4180359600825,4.381021434048422,-129.63590577100743,0.17330622673034668
2,0,1,False,0.06131727682126444,0.9023680578288779,0.3344865809835274,61.207632772115744,0.03950309753417969
2,1,1,True,2.756069107154166,-567.7462874027444,4.371838919003867,-131.5643975780365,0.18973016738891602
2,1,1,False,0.07096897020199426,0.8093810058703602,0.3668756031785157,54.5684902937735,0.15611791610717773
2,2,1,True,2.873875572072287,-613.7500214645128,4.542107495299193,-124.77539378754972,0.24670648574829102
2,2,1,False,0.08655447299544067,0.7789746489753903,0.4372262278366701,57.967313268384075,0.04402732849121094
2,0,2,True,2.780002028726449,-552.673837965987,4.374104079234175,-130.07419428031162,0.16105246543884277
2,0,2,False,0.057680373521692994,0.9081340571197546,0.3174250309395472,61.38357149720588,0.20169734954833984
2,1,2,True,2.764890608030503,-573.2120183643235,4.388237973984456,-129.5031039745171,0.1817488670349121
2,1,2,False,0.07065782409527525,0.8092951505379916,0.36419418203310466,56.19497457397001,0.24393796920776367
2,2,2,True,2.8803639399757137,-617.0311628225716,4.552926299431572,-124.71608733414385,0.17515015602111816
2,2,2,False,0.08206978913654948,0.7823183614041392,0.4149205714358555,57.61244230127702,0.20917296409606934
