AR_p,I,MA_q,Box-Cox,IN_SAMPLE_MAPE,IN_SAMPLE_R2,IN_SAMPLE_MAE,AIC,IN_SAMPLE_TIME
2,0,2,False,0.057728797381538965,0.9078622942208543,0.3175702601975132,61.38350302610317,0.029927968978881836
1,0,1,False,0.06028730870307953,0.9042048385267756,0.32991223548110343,59.40546203732989,0.008817911148071289
1,0,2,False,0.06091396796489725,0.9032526045259074,0.332679988944541,61.29634546572041,0.012791633605957031
2,0,1,False,0.061317276822030614,0.9023680578067503,0.3344865809820634,61.20763277211317,0.010720014572143555
2,0,0,False,0.06197675907654587,0.9007121008803907,0.33779951894747207,59.378452019964385,0.011008977890014648
1,0,0,False,0.06381486631761395,0.8974527312455418,0.35321257340790063,65.02820060885774,0.008468151092529297
2,1,2,False,0.07065142130730072,0.809295349305904,0.3641653521056583,56.19500729385238,0.02549004554748535
2,1,1,False,0.07095997430752561,0.8093785555981726,0.3668327915487604,54.56848076896214,0.02051997184753418
1,1,2,False,0.07369456830176217,0.8072083065728028,0.3806093191743308,56.49708046040919,0.012252092361450195
0,1,1,False,0.07369761130366646,0.8060559784004974,0.380359028821875,53.21855353949991,0.0046558380126953125
0,1,2,False,0.07391819455165193,0.8061442881877485,0.381474458858231,55.1916187230227,0.006368875503540039
1,1,1,False,0.07404574513267137,0.8061943460113083,0.38215234867780334,55.174445627378084,0.008613109588623047
2,1,0,False,0.07465937931361917,0.8059502382220521,0.3852126247450744,55.36056215746444,0.0044858455657958984
1,1,0,False,0.07480756285890634,0.8056647383792741,0.3865049411835124,53.55067618181649,0.00713801383972168
2,2,2,False,0.08207336256365894,0.7823171804764403,0.41493848313073717,57.612632761970545,0.0336151123046875
1,2,2,False,0.08267607962687144,0.7817180163493769,0.41736390428645304,55.91543186409194,0.023910045623779297
2,2,0,False,0.08480516632590866,0.7723322458020548,0.43611475187136123,60.827412965479255,0.004711151123046875
0,2,2,False,0.08530211195162314,0.7785699996315699,0.43319121711798325,56.277957825946714,0.011559247970581055
1,2,1,False,0.08627822147307035,0.7771416784203419,0.43761276065836713,57.123400032640426,0.007879018783569336
2,2,1,False,0.08655444903927634,0.778974590867494,0.4372264806704209,57.96731329822569,0.007949113845825195
0,2,1,False,0.08887307156183392,0.7739625569487479,0.44812195253610715,57.042783963527334,0.005900859832763672
1,2,0,False,0.09035999839934634,0.7580547728932654,0.4628643406165876,66.40390817473809,0.006520986557006836
0,0,2,False,0.09148509480985705,0.8014026654978808,0.5072803161971225,95.52407384479795,0.019289731979370117
0,0,1,False,0.1315741830163688,0.6631510053567692,0.739908248177818,124.84563800224923,0.014128684997558594
1,1,1,True,2.752735236462817,-566.0888263937948,4.365968580891809,-131.9498328601555,0.01909804344177246
0,1,2,True,2.753215810900413,-566.3409921866132,4.366827354884077,-131.90063426318233,0.010408878326416016
0,1,1,True,2.7539747732864295,-566.7516460715543,4.36818416933447,-133.83880021208418,0.006689786911010742
2,1,0,True,2.754264216237342,-566.4541997641207,4.36813202276658,-130.66965436872434,0.009639978408813477
2,1,1,True,2.7560981274423173,-567.7635731305,4.37189307779957,-131.56229325785338,0.028438091278076172
0,0,1,True,2.7570952605883696,-493.0814083399299,4.256022199845356,-70.1328337605442,0.018995285034179688
1,1,0,True,2.7576917573422057,-568.4991825291111,4.374334085818578,-131.9330940786653,0.00755000114440918
1,1,2,True,2.762303455669315,-572.1155626865367,4.383950028671696,-130.19735553445227,0.01776576042175293
2,1,2,True,2.7650935871013105,-573.3421035209365,4.388621046488008,-129.50299147866878,0.032521963119506836
2,0,2,True,2.7671407027967034,-546.2775007295375,4.352686209518115,-129.08382419549235,0.033453941345214844
1,0,0,True,2.7719792814237607,-549.2936164161337,4.36129308431953,-122.67730417538621,0.013983011245727539
0,0,2,True,2.7797515694301906,-522.4992745229016,4.327905523691718,-97.83250001951855,0.029067039489746094
2,0,1,True,2.7841269491596274,-554.4180370383747,4.381021434675028,-129.63590584850323,0.02250075340270996
1,0,2,True,2.7845680233509023,-554.5138344629567,4.381577904018557,-129.63214190209766,0.02686619758605957
1,0,1,True,2.7846236294883595,-554.5034595178436,4.381625000041854,-131.62879177138674,0.02547621726989746
2,0,0,True,2.7885420571108934,-555.0553112575609,4.386179657799133,-130.09075129891818,0.015216827392578125
1,2,0,True,2.8470823363217193,-602.596587027035,4.496471294551983,-115.65925236862698,0.008488893508911133
2,2,0,True,2.848735418278545,-602.8025247499896,4.500481926095877,-124.26068433929072,0.009690284729003906
0,2,1,True,2.872934361280548,-613.1119837361585,4.539648728565577,-124.05983316112813,0.009820222854614258
2,2,1,True,2.873870365016399,-613.7476883242224,4.542098853715768,-124.77539361311733,0.01618218421936035
1,2,2,True,2.876451821897233,-615.1728689274432,4.546511521478528,-126.40855958522747,0.02450704574584961
2,2,2,True,2.8795253665453973,-616.6346443189352,4.551552099224665,-124.71289543088662,0.028445005416870117
0,2,2,True,2.8829488000446957,-618.6679894705148,4.557378854941683,-126.80639444266126,0.01419973373413086
1,2,1,True,2.8841134994004824,-618.9679125385736,4.558823860985222,-124.63722491993056,0.014040708541870117
